L3_00 1.44153322492327e-07 2.437708329181282e-11 2.8939312007151495e-09 8.398172806720344e-11 3.011859193140147e-11
L3_01 1.4578866385649616e-10 1.9878825453795162e-11 7.217812124336355e-11 6.566856190741302e-11 2.1677310062505216e-11
L3_02 1.6098556580481592e-07 4.13207264689656e-11 1.6164315211308466e-09 4.089033448850954e-10 6.585926204532772e-11
L3_03 2.0176594168369682e-10 2.0221086696001247e-11 5.857671396459239e-11 2.953383299681517e-11 1.6508261976401624e-11
L3_04 1.4294118524711823e-07 2.7661648229540425e-11 8.709121928195928e-11 3.947116663363652e-11 2.314156301826915e-11
L3_05 6.667205265590122e-10 2.8563784314440444e-11 2.507729963822798e-10 1.2303327585195568e-10 2.2990362984793528e-11
L3_06 2.1456285398833605e-07 3.9533692963269294e-11 6.021604854233411e-09 1.424733473330128e-10 3.6766334455840446e-11
L3_07 1.8071850192968685e-07 4.638694373214542e-11 2.956562242220457e-09 2.708488179378085e-09 2.400215768876582e-09
L3_08 6.9649131209762e-11 1.7881393432617186e-11 3.836457691495381e-11 2.7027079667994586e-11 1.6115329883716727e-11
L3_09 3.662544042885709e-08 1.949517905306654e-11 8.527924414394665e-11 2.6680174328031993e-11 1.7192088016847363e-11
L3_10 8.193630413867714e-11 1.649972242165126e-11 3.645362237071734e-11 3.2228279627879674e-11 1.5085919526709377e-11
L3_11 4.2312747829563013e-10 2.8017458024915756e-11 2.8629879375080486e-10 1.0273613772549473e-10 2.2564615522112166e-11
L3_12 1.4308453941879485e-10 1.9450815451913187e-11 6.329445611862908e-11 5.965473271217667e-11 1.9033415978696166e-11
L3_13 2.1667554111554358e-09 1.9760819168778154e-11 8.234186062021144e-10 7.853084549480424e-10 5.612655649467478e-10
L3_14 6.293915972417715e-10 2.5544847760881695e-11 3.230358873094831e-10 7.444498490314094e-11 2.362898417881557e-11
L3_15 7.454757741840703e-10 1.9118470965691334e-11 1.5537372496571502e-10 1.4120356413232026e-10 6.664152736612408e-11
L3_16 6.169384839583417e-10 2.7825637739531848e-11 5.560261862618583e-10 5.534564962192458e-10 5.421741884581897e-10
L3_17 2.1616617838541668e-10 2.2122649108471513e-11 1.1111603302209556e-10 8.526302519298736e-11 7.707245495854592e-11
L3_18 2.9319808596656435e-10 2.639634268624442e-11 1.0057657706637344e-10 9.518377587240951e-11 6.736827497722723e-11
L3_19 2.4448641303445206e-08 2.869132424698395e-11 2.4056937418827393e-08 4.218581582413239e-09 2.4697407573258796e-09
L3_20 6.684447581670722e-07 2.61226478888064e-11 1.1783929503693872e-09 3.9897098833200884e-10 1.5209828104291644e-10
L3_21 1.31036475945269e-10 2.1873264137758027e-11 8.580569046040506e-11 8.261844340033175e-11 7.766571144913939e-11
L3_22 1.1145122467525423e-09 1.6273014129154266e-11 1.1145122467525423e-09 2.8897214818883826e-10 1.5642277147404102e-11
L3_23 1.5387273564630625e-09 2.8646722131845905e-11 1.4677795828605184e-09 1.4630051291718773e-09 6.723768857060646e-11
L4_00 3.459989027320342e-08 2.042053595779792e-11 4.866561987838843e-11 3.648387265788389e-11 3.252557192376528e-11
